"","RIVTYPE","eoo_km2"
"19_P_L","19_P_L",77340.9514996298
"22_N_U","22_N_U",13750.572699669
"22_N_L","22_N_L",11238.6051418732
"19_P_U","19_P_U",72366.7455984214
"22_P_L","22_P_L",15528.0475746544
"22_P_F","22_P_F",13801.311825205
"19_P_M","19_P_M",65100.9917362594
"19_N_L","19_N_L",81250.1160909978
"19_N_U","19_N_U",83440.1014317987
"19_N_M","19_N_M",73130.2491241042
"22_P_M","22_P_M",13809.7987554237
"22_P_U","22_P_U",13959.7377127956
"19_P_F","19_P_F",45008.7883451833
"22_N_M","22_N_M",10300.8792313369
"24_N_U","24_N_U",12067.1490173984
"24_P_F","24_P_F",9267.58775703906
"24_P_L","24_P_L",12239.5044381719
"24_N_M","24_N_M",11630.3070563203
"24_P_M","24_P_M",5143.70412430469
"23_P_L","23_P_L",17565.6700466385
"20_P_L","20_P_L",19061.7372708486
"24_P_U","24_P_U",11925.5526486406
"23_P_U","23_P_U",17795.4970461043
"20_N_F","20_N_F",4842.44646226902
"20_P_M","20_P_M",9138.23451965036
"20_N_U","20_N_U",20722.9270194031
"20_P_F","20_P_F",13359.1390449297
"20_P_U","20_P_U",17332.6041677856
"23_P_M","23_P_M",12044.6205554207
"24_N_F","24_N_F",6008.40322802344
"24_N_L","24_N_L",9814.62488011719
"23_N_M","23_N_M",14445.560083006
"20_N_L","20_N_L",16244.3650804541
"23_N_U","23_N_U",16403.3587874923
"20_N_M","20_N_M",15085.465582317
"23_P_F","23_P_F",2588.3931801596
"19_N_F","19_N_F",8203.21712956765
"23_N_L","23_N_L",9681.8190951875
"31_P_L","31_P_L",26789.0265339437
"21_N_U","21_N_U",112679.769595331
"21_N_M","21_N_M",105029.264018394
"31_P_F","31_P_F",5859.68854820929
"21_N_L","21_N_L",97381.920297818
"21_P_L","21_P_L",63687.6032591616
"31_P_U","31_P_U",23488.108519127
"18_P_U","18_P_U",46750.8129183657
"18_P_M","18_P_M",36093.2717311531
"18_P_L","18_P_L",54265.9974442664
"31_P_M","31_P_M",15901.9835867708
"18_N_U","18_N_U",82191.6023401759
"18_N_M","18_N_M",72693.8591869877
"18_N_L","18_N_L",77618.0912807621
"21_P_F","21_P_F",0.118329190348815
"21_P_U","21_P_U",50946.953424194
"31_N_U","31_N_U",2927.08286001238
"16_P_U","16_P_U",84653.3888814029
"31_N_M","31_N_M",2025.37576794711
"16_P_L","16_P_L",72863.5088754586
"16_P_M","16_P_M",78919.9841860865
"23_N_F","23_N_F",0.236692548111916
"21_N_F","21_N_F",976.302645226517
"26_N_U","26_N_U",273399.934843686
"26_N_L","26_N_L",285019.036973082
"16_P_F","16_P_F",29894.3225305414
"16_N_U","16_N_U",42697.0366596762
"26_P_U","26_P_U",177789.599928229
"16_N_M","16_N_M",40357.001933305
"26_N_M","26_N_M",232342.340024861
"25_P_F","25_P_F",20833.8395796016
"26_P_L","26_P_L",198772.444155031
"16_N_L","16_N_L",5179.83549476559
"18_N_F","18_N_F",25912.5398676585
"21_P_M","21_P_M",1351.61445921333
"25_N_U","25_N_U",41760.9058267734
"25_N_M","25_N_M",36865.6901910469
"25_N_L","25_N_L",35610.6397632891
"25_P_L","25_P_L",3498.41515657031
"26_P_M","26_P_M",112691.987690671
"26_P_F","26_P_F",183863.561457624
"25_N_F","25_N_F",1057.42420660938
"17_P_L","17_P_L",19046.1672283504
"15_P_L","15_P_L",99134.1414926579
"15_P_U","15_P_U",92815.6616092762
"15_P_M","15_P_M",85223.7691560652
"15_N_U","15_N_U",57914.6273519236
"15_N_M","15_N_M",50340.8799460885
"15_N_L","15_N_L",57803.7682659238
"17_P_U","17_P_U",18699.0743001343
"26_N_F","26_N_F",141544.51661816
"17_P_F","17_P_F",6716.40433127103
"17_P_M","17_P_M",15095.0269870219
"27_N_L","27_N_L",27325.5218370703
"27_N_U","27_N_U",28934.7593960469
"27_N_M","27_N_M",19371.146177125
"15_P_F","15_P_F",37230.1896417973
"18_P_F","18_P_F",15.7935241040116
"11_N_L","11_N_L",202435.087200651
"11_N_U","11_N_U",214971.527505946
"11_P_U","11_P_U",187879.443792937
"11_P_F","11_P_F",169251.380034262
"11_N_M","11_N_M",134155.67748664
"11_P_L","11_P_L",183426.80940329
"11_P_M","11_P_M",126499.07135683
"17_N_M","17_N_M",3.45074825
"17_N_U","17_N_U",2.6363208203125
"11_N_F","11_N_F",97212.6186911281
"27_N_F","27_N_F",141.037005898438
"29_N_U","29_N_U",110141.192139503
"14_P_M","14_P_M",40725.9388731037
"14_P_U","14_P_U",42835.8755684968
"14_P_F","14_P_F",33027.5057169325
"28_N_U","28_N_U",33293.4507691506
"14_P_L","14_P_L",42614.8469937596
"29_N_L","29_N_L",151631.654813334
"14_N_U","14_N_U",29290.6077787693
"14_N_M","14_N_M",28929.0223976186
"28_N_L","28_N_L",27943.4635733821
"14_N_L","14_N_L",25543.1427825405
"28_N_M","28_N_M",25266.3441823093
"29_N_M","29_N_M",63047.7555447609
"30_N_U","30_N_U",24377.6299183787
"13_P_F","13_P_F",5506.47619197656
"28_P_F","28_P_F",20782.0369675872
"13_P_L","13_P_L",7175.03766011719
"29_P_F","29_P_F",75884.7117834974
"15_N_F","15_N_F",1.47497035798767
"13_P_U","13_P_U",4977.72086748438
"30_N_L","30_N_L",24756.6343165387
"28_P_L","28_P_L",5254.86361233594
"13_P_M","13_P_M",1687.40329795313
"28_P_U","28_P_U",380.016676070312
"30_N_M","30_N_M",6650.27766462356
"3_P_L","3_P_L",97722.1643501782
"29_P_L","29_P_L",94655.0299385155
"3_P_U","3_P_U",89575.2783054663
"3_P_F","3_P_F",53911.5652688672
"13_N_U","13_N_U",1719.76350653906
"13_N_F","13_N_F",2887.12218579687
"3_P_M","3_P_M",62567.6206191
"29_N_F","29_N_F",170113.784872138
"14_N_F","14_N_F",703.17010482436
"3_N_L","3_N_L",67088.1062845278
"30_N_F","30_N_F",46.7565249691839
"3_N_U","3_N_U",71223.7677033126
"3_N_M","3_N_M",55853.7614489239
"3_N_F","3_N_F",36424.7811833828
"13_N_L","13_N_L",1424.17139040625
"4_P_M","4_P_M",29406.5638591072
"4_P_U","4_P_U",37747.0948564155
"12_N_L","12_N_L",8495.04625910937
"12_N_F","12_N_F",0.5599516640625
"12_N_U","12_N_U",10677.8230479844
"29_P_U","29_P_U",2756.09428788844
"12_N_M","12_N_M",2284.19407527344
"4_P_L","4_P_L",31514.7215221509
"4_N_U","4_N_U",27660.0155570378
"4_P_F","4_P_F",378.357180742187
"12_P_U","12_P_U",3032.63009580469
"12_P_M","12_P_M",186.271134757812
"12_P_F","12_P_F",467.514549695312
"10_N_U","10_N_U",12401.9939405402
"10_N_M","10_N_M",11813.572481362
"10_P_M","10_P_M",18457.0311341655
"10_P_U","10_P_U",18970.7668127101
"7_P_U","7_P_U",38319.6602654521
"10_P_L","10_P_L",16225.3314837344
"7_N_U","7_N_U",42465.9972122263
"7_P_L","7_P_L",47653.3936852883
"12_P_L","12_P_L",5360.1151073125
"7_N_M","7_N_M",34356.2898371905
"7_P_M","7_P_M",33598.8037820679
"7_N_L","7_N_L",35247.1092065545
"9_P_L","9_P_L",35904.3100389347
"4_N_M","4_N_M",6079.8537399086
"8_P_M","8_P_M",25071.900952037
"9_P_M","9_P_M",33230.0437843782
"9_P_U","9_P_U",38659.4671810917
"8_P_U","8_P_U",44729.3477342623
"8_N_M","8_N_M",35140.5517136537
"4_N_L","4_N_L",7707.06432784888
