"","RIVTYPE","B","C","A","D","F","Data defic","E","tot_leng24","prcDDef24","prp24_ab"
"1","10_N_L",118.894523535646,1853.11570424069,0,0,0,0,0,1972.01022777634,0,0.0602910278359527
"2","10_N_M",19980.3656441493,21443.0293116527,5799.16690630964,2388.32382799652,719.743271602029,0,0,50330.6289617102,0,0.51220366369892
"3","10_N_U",24474.6816782781,109806.94783309,724.671382986272,4819.56964704677,2495.62613936374,0,0,142321.496680765,0,0.177059359611626
"4","10_P_L",34213.5078123403,230854.335298968,0,102522.189931453,9895.62728959591,0,0,377485.660332358,0,0.0906352516337097
"5","10_P_M",51839.9647608938,82848.5835669615,0,12693.9453268264,215.002610493383,0,0,147597.496265175,0,0.351225231271929
"6","10_P_U",203428.709012856,566108.20400985,0,100567.518010181,30868.1496600617,1414.36005535937,0,902386.940748308,0.00156735430389374,0.225434012646683
"7","11_N_F",0,51711.9846355255,0,123728.827715285,15878.6196606837,69.2765334790357,68142.1680163216,259530.876561295,0.000266929832769529,0
"8","11_N_L",622419.281185757,2582453.02682493,0,1167347.89698082,91148.6201027663,38770.3598472686,294141.28232411,4796280.46726565,0.00808342216679658,0.129771243661361
"9","11_N_M",13418.9571047168,23608.4259918275,0,20686.8946130985,1695.94883197082,0,3583.03649985194,62993.2630414656,0,0.213022098821643
"10","11_N_U",527749.400079204,1812833.90873381,483.210195774638,662020.010767704,120251.93139102,38367.7991876498,232519.032981158,3394225.29333632,0.0113038457591413,0.155626855798885
"11","11_P_F",298107.476644183,2008260.35676195,0,1930154.31935395,230032.75322135,4978.3304274051,174842.310562259,4646375.54697109,0.0010714438333876,0.0641591437520617
"12","11_P_L",878987.132789125,4507720.15063614,10.7354552767919,2061109.97565449,235948.214351153,8442.31116362721,750024.448179861,8442242.96822967,0.00100000807787667,0.104118996758598
"13","11_P_M",15628.5410752149,49487.5583701749,0,17244.112211824,1012.62835493712,0,6096.23750523298,89469.0775173839,0,0.174680923385829
"14","11_P_U",366327.892178662,1432477.47290798,2769.75695212496,659823.013486464,83281.8975325293,9491.61891959524,206101.490899917,2760273.14287727,0.00343865205662266,0.133717798937117
"15","12_N_F",3304.26389859087,0,0,0,0,0,0,3304.26389859087,0,1
"16","12_N_L",14272.2694999262,0,135604.04575209,22245.4971022717,7304.8507731346,0,0,179426.663127422,0,0.835306819174246
"17","12_N_M",18328.0769607132,0,1123.18382549148,1477.90267332668,0,0,0,20929.1634595313,0,0.929385487566937
"18","12_N_U",161214.852912918,0,84666.2769487249,16932.5457517299,1526.4062584118,0,0,264340.081871785,0,0.930169681875581
"19","12_P_F",15471.3878873756,2954.03401191824,0,8869.23139931655,0,0,0,27294.6532986104,0,0.566828518322424
"20","12_P_L",38664.9570940721,0,18010.9611744307,30602.1133968466,5973.1045421616,0,18156.9652693819,111408.101476893,0,0.508723490636432
"21","12_P_M",1576.22196015705,0,0,0,0,867.816942398571,0,2444.03890255562,0.355074930063975,0.644925069936025
"22","12_P_U",12686.9993878604,0,375.292066589799,8853.52468020698,655.212835168571,7818.6929728341,0,30389.7219426598,0.257280832894313,0.42982596152398
"23","13_N_F",43045.2815000088,3315.63216607956,0,14774.0099208066,0,2539.277788901,0,63674.2013757959,0.0398792247729116,0.676023893035765
"24","13_N_L",59747.6061561976,4199.91908454933,5987.33369596957,23410.4107181436,0,0,0,93345.2696548601,0,0.70421286579619
"25","13_N_U",9912.2647803362,2401.02925921523,0,4297.43869711875,0,0,0,16610.7327366702,0,0.596738562800044
"26","13_P_F",31467.4958938357,135255.568169688,0,120169.509919652,0,32708.1046975888,216951.49824696,536552.176927725,0.060959783790039,0.0586475970967395
"27","13_P_L",9743.86638345724,111294.788815825,0,77533.7249530993,271.791248712336,4941.04233107269,11954.8877495484,215740.101481715,0.0229027533459813,0.0451648363773626
"28","13_P_M",1659.97228076527,2662.61696000195,0,55.1805275889965,0,0,0,4377.76976835622,0,0.379182179191796
"29","13_P_U",19110.2596500942,45205.7616088179,0,25177.5448414517,0,1533.04715151845,0,91026.6132518822,0.0168417465700532,0.209941455222702
"30","14_N_F",0,821.076184360713,0,25060.9842805518,0,0,0,25882.0604649125,0,0
"31","14_N_L",43128.5990755653,226630.471983605,0,41562.9729832274,443.96905369307,0,0,311766.013096091,0,0.138336435865036
"32","14_N_M",30747.5964082559,18466.6459179218,239.021975796778,5015.83096989034,269.316871671429,0,0,54738.4121435363,0,0.566085444765897
"33","14_N_U",186097.417609877,225522.331228412,19443.1923967207,23198.480705354,4644.71283139615,0,0,458906.134771759,0,0.447892487008972
"34","14_P_F",125626.213571628,264094.255984444,0,55632.0383270511,26989.3608412279,0,165.192002011469,472507.060726363,0,0.2658716112697
"35","14_P_L",684442.711195181,1191671.01554621,54638.9772189709,277388.591487492,32834.0888340795,6825.70036710639,51587.3759241198,2299388.46057316,0.00296848509251237,0.321425327249804
"36","14_P_M",158401.266708125,130413.765357796,3411.78503072819,13311.4514987545,903.065875936599,2247.61674588826,493.326933739526,309182.278150968,0.00726955231499651,0.52335810676653
"37","14_P_U",1384309.84771218,1236167.67708906,65297.0765375563,202960.085045701,10503.6264637618,9238.54783158846,19354.3441053305,2927831.20478517,0.00315542365163989,0.495112874635852
"38","15_N_F",0,5740.39804225053,0,0,0,0,0,5740.39804225053,0,0
"39","15_N_L",52612.6581033575,214303.63629872,0,199446.390199266,697.193616434942,0,6196.30103690346,473256.179254681,0,0.111171624185057
"40","15_N_M",54029.7385870987,55441.3249585586,18170.962596332,18976.3500649982,109.066114269358,0,0,146727.442321257,0,0.492073602873474
