"","RIVTYPE","zone","ETS18","ETS24","extent","EPL18","EPL24","ETS_EPL24"
"1","10_N_L","Lower foothill","CR","CR",1972.01022777634,"NP","NP","CR_NP"
"2","10_N_M","Mountain stream","LC","LC",50330.6289617102,"WP","WP","LC_WP"
"3","10_N_U","Upper foothill","CR","CR",142321.496680765,"PP","PP","CR_PP"
"4","10_P_L","Lower foothill","CR","CR",377485.660332358,"PP","PP","CR_PP"
"5","10_P_M","Mountain stream","LC","LC",147597.496265175,"MP","MP","LC_MP"
"6","10_P_U","Upper foothill","EN","EN",902386.940748308,"PP","PP","EN_PP"
"7","11_N_F","Lowland river","CR","CR",259530.876561295,"PP","PP","CR_PP"
"8","11_N_L","Lower foothill","CR","CR",4796280.46726565,"NP","NP","CR_NP"
"9","11_N_M","Mountain stream","EN","EN",62993.2630414656,"PP","PP","EN_PP"
"10","11_N_U","Upper foothill","CR","CR",3394225.29333632,"NP","NP","CR_NP"
"11","11_P_F","Lowland river","CR","CR",4646375.54697109,"PP","PP","CR_PP"
"12","11_P_L","Lower foothill","CR","CR",8442242.96822967,"NP","NP","CR_NP"
"13","11_P_M","Mountain stream","EN","CR",89469.0775173839,"PP","PP","CR_PP"
"14","11_P_U","Upper foothill","CR","CR",2760273.14287727,"NP","NP","CR_NP"
"15","12_N_F","Lowland river","LC","LC",3304.26389859087,"NP","NP","LC_NP"
"16","12_N_L","Lower foothill","LC","LC",179426.663127422,"WP","WP","LC_WP"
"17","12_N_M","Mountain stream","LC","LC",20929.1634595313,"PP","PP","LC_PP"
"18","12_N_U","Upper foothill","LC","LC",264340.081871785,"WP","WP","LC_WP"
"19","12_P_F","Lowland river","LC","LC",27294.6532986104,"PP","PP","LC_PP"
"20","12_P_L","Lower foothill","VU","VU",111408.101476893,"WP","WP","VU_WP"
"21","12_P_M","Mountain stream","LC","LC",2444.03890255562,"NP","NP","LC_NP"
"22","12_P_U","Upper foothill","LC","LC",30389.7219426598,"NP","NP","LC_NP"
"23","13_N_F","Lowland river","LC","LC",63674.2013757959,"WP","WP","LC_WP"
"24","13_N_L","Lower foothill","LC","LC",93345.2696548601,"WP","WP","LC_WP"
"25","13_N_U","Upper foothill","LC","LC",16610.7327366702,"WP","WP","LC_WP"
"26","13_P_F","Lowland river","CR","CR",536552.176927725,"PP","MP","CR_MP"
"27","13_P_L","Lower foothill","CR","CR",215740.101481715,"PP","PP","CR_PP"
"28","13_P_M","Mountain stream","LC","LC",4377.76976835622,"NP","WP","LC_WP"
"29","13_P_U","Upper foothill","CR","EN",91026.6132518822,"NP","PP","EN_PP"
"30","14_N_F","Lowland river","CR","CR",25882.0604649125,"NP","NP","CR_NP"
"31","14_N_L","Lower foothill","CR","CR",311766.013096091,"NP","NP","CR_NP"
"32","14_N_M","Mountain stream","LC","LC",54738.4121435363,"NP","NP","LC_NP"
"33","14_N_U","Upper foothill","LC","LC",458906.134771759,"PP","PP","LC_PP"
"34","14_P_F","Lowland river","LC","EN",472507.060726363,"NP","PP","EN_PP"
"35","14_P_L","Lower foothill","LC","EN",2299388.46057316,"PP","PP","EN_PP"
"36","14_P_M","Mountain stream","LC","LC",309182.278150968,"PP","PP","LC_PP"
"37","14_P_U","Upper foothill","LC","LC",2927831.20478517,"PP","PP","LC_PP"
"38","15_N_F","Lowland river","CR","CR",5740.39804225053,"NP","NP","CR_NP"
"39","15_N_L","Lower foothill","CR","CR",473256.179254681,"NP","NP","CR_NP"
"40","15_N_M","Mountain stream","LC","LC",146727.442321257,"PP","MP","LC_MP"
"41","15_N_U","Upper foothill","EN","CR",882760.41108747,"NP","PP","CR_PP"
"42","15_P_F","Lowland river","EN","CR",600616.588628708,"PP","NP","CR_NP"
"43","15_P_L","Lower foothill","LC","EN",2188706.67696741,"PP","PP","EN_PP"
"44","15_P_M","Mountain stream","LC","LC",653748.5561604,"WP","WP","LC_WP"
"45","15_P_U","Upper foothill","LC","LC",2310447.57104808,"PP","PP","LC_PP"
"46","16_N_L","Lower foothill","LC","LC",40072.6925801995,"NP","NP","LC_NP"
"47","16_N_M","Mountain stream","LC","EN",56406.67558181,"NP","NP","EN_NP"
"48","16_N_U","Upper foothill","LC","EN",205624.880755142,"NP","NP","EN_NP"
"49","16_P_F","Lowland river","CR","CR",417042.61666961,"NP","NP","CR_NP"
