"","RIVTYPE","DDef14","B14","C14","D14","E14","F14","A14","tot_leng14","B18","C18","A18","D18","F18","DDef18","E18","tot_leng18","B","C","A","D","F","DDef","E","tot_leng24","eoo_km2","prp18_cdef","prp18_def","prp18_ef","prp18_f","prp24_cdef","prp24_def","prp24_ef","prp24_f","pes_decline1418","pes_decline1824","D3_18","D3_24","B1_18","B1_24","RLE_18","RLE_24","A3sa_24","A3sa_18","zone"
"1","10_N_L",1972.01022777634,0,0,0,0,0,0,1972.01022777634,118.894523535646,1853.11570424069,0,0,0,0,0,1972.01022777634,118.894523535646,1853.11570424069,0,0,0,0,0,1972.01022777634,7.3922835234375,0.939708972164047,0,0,0,0.939708972164047,0,0,0,"nodecline1418","nodecline1824","VU","VU","LC","LC","VU","VU","CR","CR","Lower foothill"
"2","10_N_M",50330.6289617102,0,0,0,0,0,0,50330.6289617102,19980.3656441493,21443.0293116527,5799.16690630964,2388.32382799652,719.743271602029,0,0,50330.6289617102,19980.3656441493,21443.0293116527,5799.16690630964,2388.32382799652,719.743271602029,0,0,50330.6289617102,11813.572481362,0.48779633630108,0.0617529954168279,0.0143003035417973,0.0143003035417973,0.48779633630108,0.0617529954168279,0.0143003035417973,0.0143003035417973,"decline1418","nodecline1824","LC","LC","EN","LC","EN","LC","LC","LC","Mountain stream"
"3","10_N_U",142321.496680765,0,0,0,0,0,0,142321.496680765,24474.6816782781,109806.94783309,724.671382986272,4819.56964704677,2495.62613936374,0,0,142321.496680765,24474.6816782781,109806.94783309,724.671382986272,4819.56964704677,2495.62613936374,0,0,142321.496680765,12401.9939405402,0.822940640388374,0.0513990925968051,0.0175351313579956,0.0175351313579956,0.822940640388374,0.0513990925968051,0.0175351313579956,0.0175351313579956,"decline1418","nodecline1824","LC","LC","EN","LC","EN","LC","CR","CR","Upper foothill"
"4","10_P_L",377485.660332358,0,0,0,0,0,0,377485.660332358,34213.5078123403,230854.335298968,0,102522.189931453,9895.62728959591,0,0,377485.660332358,34213.5078123403,230854.335298968,0,102522.189931453,9895.62728959591,0,0,377485.660332358,16225.3314837344,0.90936474836629,0.29780685476124,0.0262145780077667,0.0262145780077667,0.90936474836629,0.29780685476124,0.0262145780077667,0.0262145780077667,"decline1418","nodecline1824","VU","VU","EN","LC","EN","VU","CR","CR","Lower foothill"
"5","10_P_M",147597.496265175,0,0,0,0,0,0,147597.496265175,51839.9647608938,82848.5835669615,0,12693.9453268264,215.002610493383,0,0,147597.496265175,51839.9647608938,82848.5835669615,0,12693.9453268264,215.002610493383,0,0,147597.496265175,18457.0311341655,0.648774768728071,0.087460480455085,0.00145668196232209,0.00145668196232209,0.648774768728071,0.087460480455085,0.00145668196232209,0.00145668196232209,"decline1418","nodecline1824","LC","LC","EN","LC","EN","LC","LC","LC","Mountain stream"
"6","10_P_U",902386.940748308,0,0,0,0,0,0,902386.940748308,203428.709012856,566108.20400985,0,100567.518010181,30868.1496600617,1414.36005535937,0,902386.940748308,203428.709012856,566108.20400985,0,100567.518010181,30868.1496600617,1414.36005535937,0,902386.940748308,18970.7668127101,0.772998633049423,0.145653335321153,0.0342072211666364,0.0342072211666364,0.772998633049423,0.145653335321153,0.0342072211666364,0.0342072211666364,"decline1418","nodecline1824","LC","LC","EN","LC","EN","LC","EN","EN","Upper foothill"
"7","11_N_F",26736.008612092,6286.60889726977,149278.381034873,61463.31230622,15766.5657108404,0,0,259530.876561295,5488.74968699795,137250.405170257,0,59820.8771310468,46617.4947382086,69.2765334790357,10284.0733013061,259530.876561295,0,51711.9846355255,0,123728.827715285,15878.6196606837,69.2765334790357,68142.1680163216,259530.876561295,97212.6186911281,0.978584335343374,0.449743963867029,0.219247778119672,0.179622152692875,0.99973307016723,0.800481307445609,0.323741008354208,0.061182006052885,"decline1418","decline1824","VU","EN","LC","LC","VU","EN","CR","CR","Lowland river"
"8","11_N_L",416346.759288242,882034.078378377,2345623.34502207,1011779.0022723,106569.019300421,33928.2630042433,0,4796280.46726565,845083.068523025,2453572.2631585,0,1027056.86707888,304648.332319426,41519.9795194788,124399.956666348,4796280.46726565,622419.281185757,2582453.02682493,0,1167347.89698082,91148.6201027663,38770.3598472686,294141.28232411,4796280.46726565,202435.087200651,0.815147789189244,0.303590493925968,0.0894543786406998,0.0635176225407655,0.862145334171842,0.323717057416547,0.0803309783605148,0.0190040221219027,"decline1418","decline1824","LC","EN","LC","LC","LC","EN","CR","CR","Lower foothill"
"9","11_N_M",10751.330100205,10276.0661988017,25715.6642629231,14986.4722011728,1263.73027836306,0,0,62993.2630414656,12881.6426130265,29921.4341518292,0,16715.1645284638,1227.11123146088,0,2247.91051668529,62993.2630414656,13418.9571047168,23608.4259918275,0,20686.8946130985,1695.94883197082,0,3583.03649985194,62993.2630414656,134155.67748664,0.79550761476593,0.320513421622875,0.0551649744808222,0.0194800391694764,0.786977901178357,0.412200903576452,0.0838023794440977,0.0269227017316828,"decline1418","decline1824","LC","EN","LC","LC","LC","EN","EN","EN","Mountain stream"
"10","11_N_U",354014.686202304,584174.992006447,1771255.67243873,500280.91197391,154821.756939971,22076.7256316077,7600.5481433422,3394225.29333632,593501.372303912,1815133.6813723,6829.37815838146,492769.305026529,272364.336033165,40462.7716953309,173164.448746695,3394225.29333632,527749.400079204,1812833.90873381,483.210195774638,662020.010767704,120251.93139102,38367.7991876498,232519.032981158,3394225.29333632,214971.527505946,0.811210669069123,0.276439543258515,0.131260816909986,0.0802434465879099,0.833069298441974,0.29897572713637,0.103932689755377,0.0354283882178074,"decline1418","decline1824","LC","LC","LC","LC","LC","LC","CR","CR","Upper foothill"
"11","11_P_F",548037.29124461,566257.247914688,2318133.68536966,1140610.30461075,64886.0688382551,8450.94899312288,0,4646375.54697109,528431.877393814,2492388.70508624,0,1141338.44297318,394465.710041155,4978.3304274051,84772.4810493014,4646375.54697109,298107.476644183,2008260.35676195,0,1930154.31935395,230032.75322135,4978.3304274051,174842.310562259,4646375.54697109,169251.380034262,0.885198645174314,0.34878296377056,0.103142371133316,0.084897509048381,0.934769412414551,0.502548569208903,0.0871378259657769,0.0495079984163797,"decline1418","decline1824","LC","EN","LC","LC","LC","EN","CR","CR","Lowland river"
"12","11_P_L",1220463.5043017,1227277.78240999,4121310.19877504,1281488.02827204,586182.444258252,5521.01021265068,0,8442242.96822967,1280210.65599474,4452316.7628745,10.7354552767919,1467764.65705591,559158.201079209,8442.31116362721,674339.644606415,8442242.96822967,878987.132789125,4507720.15063614,10.7354552767919,2061109.97565449,235948.214351153,8442.31116362721,750024.448179861,8442242.96822967,183426.80940329,0.847355293200727,0.319969765488517,0.14611020440037,0.0662333698737959,0.894880995163525,0.360932829065979,0.116790367943861,0.0279485221213233,"decline1418","decline1824","LC","EN","LC","LC","LC","EN","CR","CR","Lower foothill"
"13","11_P_M",24771.4745707857,17605.3410956067,30712.4566271275,7820.26730203519,8559.53792182885,0,0,89469.0775173839,24022.2425611431,43720.1109900725,0,9989.72724882888,1328.31444028107,0,10408.6822770584,89469.077517384,15628.5410752149,49487.5583701749,0,17244.112211824,1012.62835493712,0,6096.23750523298,89469.0775173839,126499.07135683,0.731502288525602,0.242840594415952,0.131184952868872,0.0148466316758768,0.825319076614171,0.272194357511536,0.0794561211250764,0.0113181937607479,"decline1418","decline1824","LC","LC","LC","LC","LC","LC","CR","EN","Mountain stream"
"14","11_P_U",600874.680543935,438279.267569523,1077276.22695673,366214.083198029,274859.127656937,0,2769.75695212496,2760273.14287727,469740.830089703,1293667.67854123,2769.75695212496,498865.100739687,171390.449167016,10203.6643474658,313635.663040051,2760273.14287727,366327.892178662,1432477.47290798,2769.75695212496,659823.013486464,83281.8975325293,9491.61891959524,206101.490899917,2760273.14287727,187879.443792937,0.825120838988377,0.356447047816854,0.175716708854936,0.0620918439210551,0.862843549006261,0.343881330863318,0.104838678439916,0.030171614627137,"decline1418","nodecline1824","LC","EN","LC","LC","LC","EN","CR","CR","Upper foothill"
"15","12_N_F",0,3304.26389859087,0,0,0,0,0,3304.26389859087,3304.26389859087,0,0,0,0,0,0,3304.26389859087,3304.26389859087,0,0,0,0,0,0,3304.26389859087,0.5599516640625,0,0,0,0,0,0,0,0,"nodecline1418","nodecline1824","LC","LC","LC","LC","LC","LC","LC","LC","Lowland river"
